Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.12283,0.0054798,0.19053,0,0,0,11.483,0.10681,-0.007053,-0.00047763,0.1025,6.0356E-05,0.12332,0,0,0,0,0,0,package://SIAT01/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SIAT01/meshes/base_link.STL,,扶手部件-1218-1218-1-1;髋膝部件-1212-1218-1-1/基准板前-1211-1212-1218-1-1;髋膝部件-1212-1218-1-1/基准板后-1211-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-2/JRM126120-001外壳-关节11-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-2/JRM126120-004后壳体-关节11-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-2/JRM126120-005法兰-1212-1218-1-2;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-2/JRM126120-003轴承法兰-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-2/JRM123120-006编码器防护盖-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-2/JRM123120-008中空轴-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-1/JRM126120-004后壳体-关节11-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-1/JRM126120-001外壳-关节11-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-1/JRM126120-005法兰-1212-1218-1-2;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-1/JRM126120-003轴承法兰-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R1-1212-1218-1-1/JRM123120-008中空轴-1212-1218-1-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_1,0.079905,-0.0081434,0.026887,0,0,0,2.8322,0.0025127,0.00039573,-7.1211E-05,0.0065445,-5.6669E-05,0.0072351,0,0,0,0,0,0,package://SIAT01/meshes/r_1.STL,0.5451,0.61569,0.85882,1,0,0,0,0,0,0,package://SIAT01/meshes/r_1.STL,,髋膝部件-1212-1218-1-1/髋一后部支撑件-1211-1212-1218-1-2;髋膝部件-1212-1218-1-1/镜向髋一输出兼第二反馈-1212-1218-1-1;髋膝部件-1212-1218-1-1/镜向JM-0023-4000-001外壳-R1-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM90107-100-GNBABF-R1-1212-1218-1-2/JRM90102-06法兰01-1212-1218-1-2;髋膝部件-1212-1218-1-1/JRM90107-100-GNBABF-R1-1212-1218-1-2/JRM90102-003轴承法兰 2-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM90107-100-GNBABF-R1-1212-1218-1-2/JM-0023-2000-005后壳体-R1-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM90107-100-GNBABF-R1-1212-1218-1-2/JRM90107-03中空轴-1212-1218-1-1,坐标系1,基准轴1,joint_r_1,revolute,0,0.105,0,1.5708,0,1.5708,base_link,0,0,1,500,1,-3.14,3.14,,,,,,,,
r_2,0.0055321,-0.11644,0.028381,0,0,0,4.2266,0.012089,-7.1351E-05,-2.3903E-05,0.0044533,8.8635E-05,0.012074,0,0,0,0,0,0,package://SIAT01/meshes/r_2.STL,0.92941,0.76863,0.67059,1,0,0,0,0,0,0,package://SIAT01/meshes/r_2.STL,,髋膝部件-1212-1218-1-1/镜向髋二输出兼第二反馈-1212-1218-1-1;髋膝部件-1212-1218-1-1/镜向髋二后部支撑件-1212-1218-1-4;髋膝部件-1212-1218-1-1/镜向JRM126120-001外壳R-2SLDPRT-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R2-1212-1218-1-2/JRM126120-005法兰-1212-1218-1-2;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R2-1212-1218-1-2/JRM126120-004后壳体-关节11-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R2-1212-1218-1-2/JRM126120-003轴承法兰-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R2-1212-1218-1-2/JRM123120-008中空轴-1212-1218-1-1,坐标系2,基准轴2,joint_r_2,revolute,0.159,0,0,-1.5708,0,0,r_1,0,0,1,500,1,-3.14,3.14,,,,,,,,
r_3,-0.00020696,0.22207,-0.026349,0,0,0,11.84,0.1909,0.00099269,-0.00030176,0.014461,-0.0049046,0.20128,0,0,0,0,0,0,package://SIAT01/meshes/r_3.STL,0.8902,0.71765,0.58824,1,0,0,0,0,0,0,package://SIAT01/meshes/r_3.STL,,髋膝部件-1212-1218-1-1/髋三后部支撑件-更新-1218-1-2;髋膝部件-1212-1218-1-1/镜向髋三输出兼第二反馈-1212-1218-1-4;髋膝部件-1212-1218-1-1/连杆-膝关节-1212-1218-1-2/膝关节连杆-1212-1218-1-1;髋膝部件-1212-1218-1-1/镜向膝关节输出兼第二反馈-1212-1218-1-4;髋膝部件-1212-1218-1-1/连杆-膝关节-1212-1218-1-2/交叉滚子轴承-26-15-5-RAU1505C0-1212-1218-1-1;髋膝部件-1212-1218-1-1/连杆-膝关节-1212-1218-1-2/挡圈26-1212-1218-1-1;髋膝部件-1212-1218-1-1/连杆-膝关节-1212-1218-1-2/销轴26-1212-1218-1-1;髋膝部件-1212-1218-1-1/连杆-膝关节-1212-1218-1-2/交叉滚子轴承-26-15-5-RAU1505C0-1212-1218-1-2;小腿-2-1218-1-1/镜向JM-0023-4000-001外壳-R2-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-02-00-R3-1212-1218-1-2/JRM126120-001外壳R3-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-02-00-R3-1212-1218-1-2/JRM126120-005法兰-1212-1218-1-2;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-02-00-R3-1212-1218-1-2/JRM126120-004后壳体-01-00-1120-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-02-00-R3-1212-1218-1-2/JRM126120-003轴承法兰-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-02-00-R3-1212-1218-1-2/JRM123120-008中空轴-1212-1218-1-1;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-1/JM-0023-2000-005后壳体-R1-1212-126-1218-1-1;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-1/JRM90102-06法兰01-1212-126-1218-1-2;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-1/JRM90102-003轴承法兰 2-1212-126-1218-1-1;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-1/LHSG-20-XXX-C-I-S413(1)-1212-126-1218-1-1;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-1/JRM90102-007编码器防护盖-1212-126-1218-1-1,坐标系3,基准轴3,joint_r_3,revolute,0,-0.205,0,-1.5708,0,-1.5708,r_2,0,0,1,500,1,-3.14,3.14,,,,,,,,
r_4,-0.011457,0.12085,-0.024406,0,0,0,3.321,0.013003,0.00041011,7.9616E-05,0.0027063,-0.00092136,0.012137,0,0,0,0,0,0,package://SIAT01/meshes/r_4.STL,0.75294,1,1,1,0,0,0,0,0,0,package://SIAT01/meshes/r_4.STL,,小腿-2-1218-1-1/镜向小腿结构件-1211-1212-1218-1-1;小腿-2-1218-1-1/镜向踝一输出兼第二反馈-1212-1218-1-1;小腿-2-1218-1-1/镜向踝二输出兼第二反馈-1212-1218-1-1;小腿-2-1218-1-1/十字轴36-踝关节-1212-126-1218-1-1/十字轴36支座-1212-126-1218-1-2;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/十字轴26支座-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/踝关节连杆01-1211-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/十字轴26支座-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/踝关节连杆03-1211-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/踝关节连杆02-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/踝关节连杆04-1211-1212-126-1218-1-2;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/挡圈大-踝关节-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/踝关节连杆3下-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-5;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-6;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-7;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-8;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-9;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-10;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/销轴26-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/销轴26-1212-126-1218-1-2;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/挡圈26-1212-126-1218-1-2;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/挡圈26-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-5;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/挡圈26-1212-126-1218-1-2;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-6;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-2/JRM90107-001外壳-1212-126-1218-1-1;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-2/JRM90102-06法兰01-1212-126-1218-1-2;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-2/JRM90102-003轴承法兰 2-1212-126-1218-1-1;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-2/JRM90102-005后壳体-1212-126-1218-1-1;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-2/LHSG-20-XXX-C-I-S413(1)-1212-126-1218-1-1;小腿-2-1218-1-1/JRM90107-100-GNBABF-R2-1212-126-1218-1-2/JRM90107-03中空轴-1212-126-1218-1-1,坐标系4,基准轴4,joint_r_4,revolute,0,0.44,0,0,0,0,r_3,0,0,1,500,1,-3.14,3.14,,,,,,,,
r_5,0.015363,-0.00020794,-0.011661,0,0,0,0.11725,2.1488E-05,-3.6546E-10,-7.9615E-16,3.2429E-05,6.8398E-11,2.1496E-05,0,0,0,0,0,0,package://SIAT01/meshes/r_5.STL,0.92157,0.88235,0.64314,1,0,0,0,0,0,0,package://SIAT01/meshes/r_5.STL,,小腿-2-1218-1-1/十字轴36-踝关节-1212-126-1218-1-1/十字轴36-踝关节-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴36-踝关节-1212-126-1218-1-1/交叉滚子轴承-36-20-8-RB2008CC0-1212-126-1218-1-3;小腿-2-1218-1-1/十字轴36-踝关节-1212-126-1218-1-1/交叉滚子轴承-36-20-8-RB2008CC0-1212-126-1218-1-2;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/十字轴26-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-4;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/十字轴26-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-4;小腿-2-1218-1-1/十字轴36-踝关节-1212-126-1218-1-1/交叉滚子轴承-36-20-8-RB2008CC0-1212-126-1218-1-4;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-3;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-2;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/挡圈26-1212-126-1218-1-4;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-3;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴36-踝关节-1212-126-1218-1-1/交叉滚子轴承-36-20-8-RB2008CC0-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-126-1218-1-2;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/挡圈26-1212-126-1218-1-1,坐标系5,基准轴5,joint_r_5,revolute,0,0.4,0,0,0,0,r_4,0,0,1,500,1,-3.14,3.14,,,,,,,,
r_6,-0.094957,0.049767,0.038082,0,0,0,1.4525,0.0098192,7.9321E-05,2.2112E-05,0.0068454,-0.0002905,0.0033135,0,0,0,0,0,0,package://SIAT01/meshes/r_6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SIAT01/meshes/r_6.STL,,脚底板2-1218-1-1;弧形绑缚件-1209-222-1212-1218-1-1;小腿-2-1218-1-1/镜向踝关节连接件-1211-1212-1218-1-1;小腿-2-1218-1-1/十字轴带杆01-踝关节-1212-126-1218-1-1/十字轴26支座-1212-126-1218-1-2;小腿-2-1218-1-1/十字轴36-踝关节-1212-126-1218-1-1/十字轴36支座-1212-126-1218-1-1;小腿-2-1218-1-1/十字轴带杆02-踝关节0-1212-126-1218-1-1/十字轴26支座-1212-126-1218-1-2,坐标系6,基准轴6,joint_r_6,revolute,0,0,-0.0275,-1.5708,0,-1.5708,r_5,0,0,1,500,1,-3.14,3.14,,,,,,,,
l_1,-0.08002,-0.0081433,0.026963,0,0,0,2.8322,0.0025118,-0.00039481,7.0805E-05,0.0065445,-5.728E-05,0.007236,0,0,0,0,0,0,package://SIAT01/meshes/l_1.STL,0.5451,0.61569,0.85882,1,0,0,0,0,0,0,package://SIAT01/meshes/l_1.STL,,髋膝部件-1212-1218-1-1/髋一后部支撑件-1211-1212-1218-1-1;髋膝部件-1212-1218-1-1/髋一输出兼第二反馈-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM90107-100-GNBABF-R1-1212-1218-1-1/JM-0023-4000-001外壳-R1-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM90107-100-GNBABF-R1-1212-1218-1-1/JRM90102-06法兰01-1212-1218-1-2;髋膝部件-1212-1218-1-1/JRM90107-100-GNBABF-R1-1212-1218-1-1/JM-0023-2000-005后壳体-R1-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM90107-100-GNBABF-R1-1212-1218-1-1/JRM90102-003轴承法兰 2-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM90107-100-GNBABF-R1-1212-1218-1-1/JRM90107-03中空轴-1212-1218-1-1,坐标系7,基准轴7,joint_l_1,revolute,0,-0.105,0,1.5708,0,1.5708,base_link,0,0,-1,500,1,-3.14,3.14,,,,,,,,
l_2,-0.0055321,-0.11644,0.028383,0,0,0,4.2266,0.012089,7.2688E-05,2.2164E-05,0.0044012,0.00010249,0.012126,0,0,0,0,0,0,package://SIAT01/meshes/l_2.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://SIAT01/meshes/l_2.STL,,髋膝部件-1212-1218-1-1/髋二输出兼第二反馈-1212-1218-1-2;髋膝部件-1212-1218-1-1/髋二后部支撑件-1212-1218-1-2;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R2-1212-1218-1-1/JRM126120-001外壳R-2SLDPRT-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R2-1212-1218-1-1/JRM126120-005法兰-1212-1218-1-2;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R2-1212-1218-1-1/JRM126120-004后壳体-关节11-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R2-1212-1218-1-1/JRM126120-003轴承法兰-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-R2-1212-1218-1-1/JRM123120-008中空轴-1212-1218-1-1,坐标系8,基准轴8,joint_l_2,revolute,-0.159,0,0,-1.5708,0,0,l_1,0,0,-1,500,1,-3.14,3.14,,,,,,,,
l_3,-0.00017641,0.22192,0.030643,0,0,0,11.835,0.19094,0.00098286,0.00029818,0.014422,0.0049082,0.20127,0,0,0,0,0,0,package://SIAT01/meshes/l_3.STL,0.8902,0.71765,0.58824,1,0,0,0,0,0,0,package://SIAT01/meshes/l_3.STL,,髋膝部件-1212-1218-1-1/髋三后部支撑件-更新-1218-1-1;髋膝部件-1212-1218-1-1/髋三输出兼第二反馈-1212-1218-1-2;髋膝部件-1212-1218-1-1/连杆-膝关节-1212-1218-1-1/膝关节连杆-1212-1218-1-1;髋膝部件-1212-1218-1-1/膝关节输出兼第二反馈-1212-1218-1-2;髋膝部件-1212-1218-1-1/连杆-膝关节-1212-1218-1-1/挡圈26-1212-1218-1-1;髋膝部件-1212-1218-1-1/连杆-膝关节-1212-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-1218-1-1;髋膝部件-1212-1218-1-1/连杆-膝关节-1212-1218-1-1/销轴26-1212-1218-1-1;髋膝部件-1212-1218-1-1/连杆-膝关节-1212-1218-1-1/交叉滚子轴承-26-15-5-RAU1505C0-1212-1218-1-2;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-02-00-R3-1212-1218-1-1/JRM126120-001外壳R3-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-02-00-R3-1212-1218-1-1/JRM126120-005法兰-1212-1218-1-2;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-02-00-R3-1212-1218-1-1/JRM126120-004后壳体-01-00-1120-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-02-00-R3-1212-1218-1-1/JRM126120-003轴承法兰-1212-1218-1-1;髋膝部件-1212-1218-1-1/JRM123126-100-GNBABF-02-00-R3-1212-1218-1-1/JRM123120-008中空轴-1212-1218-1-1;小腿部件-1212-1218-1-1/JRM90107-100-GNBABF-R2-1212-1218-1-1/JM-0023-4000-001外壳-R2-1212-1218-1-1;小腿部件-1212-1218-1-1/JRM90107-100-GNBABF-R2-1212-1218-1-1/JRM90102-06法兰01-1212-1218-1-2;小腿部件-1212-1218-1-1/JRM90107-100-GNBABF-R2-1212-1218-1-1/JM-0023-2000-005后壳体-R1-1212-1218-1-1;小腿部件-1212-1218-1-1/JRM90107-100-GNBABF-R2-1212-1218-1-1/JRM90102-003轴承法兰 2-1212-1218-1-1;小腿部件-1212-1218-1-1/JRM90107-100-GNBABF-R2-1212-1218-1-1/LHSG-20-XXX-C-I-S413(1)-1212-1218-1-1,坐标系9,基准轴9,joint_l_3,revolute,-0.0042446,-0.205,0,-1.5708,0,-1.5708,l_2,0,0,1,500,1,-3.14,3.14,,,,,,,,
