Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0847836403101362,0.016124068276873,1.17982651333941,0,0,0,8.8763411146804,0.101488545979813,-0.00645799423628229,-0.000193628859141176,0.110557558643183,1.19373146939592E-07,0.124437695624475,0,0,0,0,0,0,package://lm/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://lm/meshes/base_link.STL,,扶手-1;背包简化-1;背部支撑板2-1;扶手-3;母合页-1;子合页-1;扶手电池盒-1;电池盒侧盖-2;电池盒盖-1;电池盒侧盖-1;KCLSCLF5_50_0-1/KCLSCLF5_50_0_5-1;扶手端塞左-1;KCLSCLF5_50_0-1/KCLSCLF5_50_0_3-1;HGA91_40_3-1;HGA91_40-1/HGA91_40_7-1;HGA91_40-1/HGA91_40_5-1;扶手端塞右-1;XAF72_L160_D10-1;支撑支架-1;U型固定座-2;U型固定座-3;加强筋固定板-1;加强筋-8;背包固定板-2;加强筋-1;髋辅助固定座-1;XAF72_L160_D10-2;U型固定座-4;加强筋-9;加强筋-5;加强筋固定板-2;扶手支撑柱-1;扶手支撑柱-2;扶手支撑柱-3;髋固定座-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R1,-0.00590581604235663,-0.000378342657516517,-0.097190821686626,0,0,0,2.20759710695519,0.00328368912648769,4.60300383770932E-06,-4.9557633533897E-05,0.00312841784055403,-3.11500954921368E-06,0.00447804903564169,0,0,0,0,0,0,package://lm/meshes/R1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lm/meshes/R1.STL,,3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/RDM2-POWER HW_V1.1-简化-1/RDM2-MOSET HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/电源3_霍尔传感器5_抱闸2^3242501-000000-002 RJSIIZ-25关节组件型-RevB1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/3212501-000000-108 六角钢柱 M3x14+6-RevA1-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/3211701-000000-119 RJS17-II六角钢柱M3x6+3-RevA1-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/3211701-000000-125 六角钢柱 M3x6+5-RevA1-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/GB／T70．1-2000内六角圆柱头螺钉M3×5-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/3212501-000000-103 RJS25-II关节L型刹车防尘罩-RevA4-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/RDM2-POWER HW_V1.1-简化-1/RDM2-DRIVE HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/3213201-000000-108 RJS32-II编码器支架-RevA3-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/RDM2-MAIN HW_V1.0-简化-1;deep groove ball bearings gb-10;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-4/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;110驱动辅助髋支架-2;圆形支柱内外螺纹-9;90驱动髋支座-3;圆柱连接杆-4;90驱动辅助髋支座-4;圆形支柱内外螺纹-10;20系列罩壳3-2;20关节组件型(SIAT)-11/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-11/3212001-000000-103 RJSII-20L防尘罩-RevA1-1;20关节组件型(SIAT)-11/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P06-CL-III-B1-1;20关节组件型(SIAT)-11/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;20关节组件型(SIAT)-11/芯轴3242001-000000-102 RJSII-20关节组件型前端盖-RevB1（SIAT）-1;端盖输出杆5-2;支撑套-5;支撑套-6;支撑套-8;圆形支柱内外螺纹-12;圆形支柱内外螺纹-11;支撑套-7;20关节组件型(SIAT)-11/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P01-CL-III-1;20关节组件型(SIAT)-13/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-13/3212001-000000-103 RJSII-20L防尘罩-RevA1-1;20关节组件型(SIAT)-13/芯轴3242001-000000-102 RJSII-20关节组件型前端盖-RevB1（SIAT）-1;20关节组件型(SIAT)-13/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;20关节组件型(SIAT)-13/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P06-CL-III-B1-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3212501-000000-103 RJS25-II关节L型刹车防尘罩-RevA4-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/RDM2-POWER HW_V1.1-简化-1/RDM2-MOSET HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/RDM2-POWER HW_V1.1-简化-1/RDM2-DRIVE HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/RDM2-MAIN HW_V1.0-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3213201-000000-108 RJS32-II编码器支架-RevA3-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3,Origin_r1,基准轴1,r1,revolute,-0.22474,-0.109,0.97992,0,1.5708,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
R2,0.254569564032238,-0.139139525424893,-0.0687849629864661,0,0,0,3.19974792524518,0.00480141067289401,0.000202464951920159,-1.3363010815288E-06,0.00724706562246883,-1.03783460509467E-05,0.00754290013579256,0,0,0,0,0,0,package://lm/meshes/R2.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://lm/meshes/R2.STL,,端盖输出杆4-2;髋连杆1-2;_SCLBR12-10.0_D-3;髋连杆2-2;髋连杆5-2;髋连杆4-3;髋连杆3-2;圆柱支撑杆1-4;圆柱支撑杆1-5;圆柱支撑杆1-6;圆柱支撑杆2-3;圆柱支撑杆2-4;110驱动辅助支座-2;110驱动支座-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;25系列罩壳2-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1,Origin_r2,基准轴02,r2,revolute,-0.074,0.004,-0.18726,3.1416,-1.5708,0,R1,0,0,-1,0,0,0,0,,,,,,,,
R3,-0.00428821051056383,-0.210045840770069,0.0243375068234463,0,0,0,1.55569553643649,0.00470363819858225,5.6465625109145E-05,4.81096129758057E-05,0.00288796096558704,5.66863342194461E-06,0.00529102208272787,0,0,0,0,0,0,package://lm/meshes/R3.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://lm/meshes/R3.STL,,大腿辅助连杆2-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;25系列罩壳1-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;大腿U形支撑板-2;大腿绑缚支架-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1,Origin_r3,基准轴3,r3,revolute,0.35806,-0.1057,-0.073552,1.5708,0,0,R2,0,0,1,0,0,0,0,,,,,,,,
R4,-0.00253089741190857,-0.327230467236538,0.043639443195158,0,0,0,2.71063429202877,0.0203006815060119,-7.65976536605899E-05,3.6570950367569E-06,0.00327761584360402,0.000858028173816396,0.0208829866242641,0,0,0,0,0,0,package://lm/meshes/R4.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://lm/meshes/R4.STL,,大腿辅助连杆1-2;20系列罩壳2-2;90驱动支座-2;90轴承垫圈-2;20关节组件型(SIAT)-9/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-9/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;90轴承端盖-2;20系列罩壳M1-M12-1;小腿连杆-2;小腿支撑板-2;小腿挡板支架-3;小腿挡板连接块-2;小腿挡板支座-2;_IPCX6ergf-2;20关节组件型(SIAT)-15/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-10/芯轴3242001-000000-102 RJSII-20关节组件型前端盖-RevB1（SIAT）-1;circlips for shaft--type b gb-2;deep groove ball bearings gb-8;20关节组件型(SIAT)-10/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1,Origin_r4,基准轴4,r4,revolute,-5.9136E-05,-0.18045,-0.0007,0,0,0,R3,0,0,1,0,0,0,0,,,,,,,,
R5,0.0404638830644892,-0.474230645005131,-0.0649480168515433,0,0,0,2.75166045965853,0.0082226290270967,5.18405335157691E-05,0.000564288002547797,0.0184077002147554,-0.000106838645361955,0.0129901003870485,0,0,0,0,0,0,package://lm/meshes/R5.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://lm/meshes/R5.STL,,圆柱连杆1-2;一字轴8mm支座2-6;端盖输出杆2-2;十字轴8mm支座1-4;十字轴12mm支座-3;十字轴8mm支座2-4;踝关节固定座-2;六维力脚底板上-2;37153-00-2/37151-00_ASM_144_ASM_1_ASM-1/37151-10_ASM_138_ASM_1_ASM-1/37151-15_193_1-1;六维力脚底板下-2;std_支具环扣VT3-11;std_支具环扣VT3-10;弧形绑缚件-2;std_支具环扣VT3-8;std_支具环扣VT3-9;L形绑缚件-8;十字轴12mm支座-4;十字轴12mm-2;十字轴8mm-4;L形绑缚件-11;L形绑缚件-10,Origin_r5,基准轴5,r5,revolute,0,-0.259,0.0305,0,0,0,R4,0,0,1,0,0,0,0,,,,,,,,
R6,0.375757481556579,0.0588554601624295,0.0438139222015952,0,0,0,2.58090518554817,0.0183265248457102,-0.000110484792807963,-5.18717858368646E-05,0.0121030694998444,-0.000563756385645892,0.00747330629979318,0,0,0,0,0,0,package://lm/meshes/R6.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://lm/meshes/R6.STL,,圆柱连杆2-3;端盖输出杆1-2;一字轴8mm支座1-2;一字轴8mm支座3-2;十字轴8mm支座1-5;十字轴8mm支座2-5;十字轴8mm-5;踝关节固定座-2;六维力脚底板上-2;弧形绑缚件-2;std_支具环扣VT3-10;六维力脚底板下-2;37153-00-2/37151-00_ASM_144_ASM_1_ASM-1/37151-10_ASM_138_ASM_1_ASM-1/37151-15_193_1-1;std_支具环扣VT3-11;L形绑缚件-10;std_支具环扣VT3-8;std_支具环扣VT3-9;L形绑缚件-11,Origin_r6,基准轴6,r6,revolute,-0.0065,-0.37,0.0265,-1.5708,0,-1.5708,R4,0,0,-1,0,0,0,0,,,,,,,,
L1,0.00170500096238241,0.00382865112779629,-0.0951911325548635,0,0,0,2.17590643154051,0.00305958752681306,5.51812772520468E-06,1.58394359645374E-08,0.00324420531255781,4.3000071606271E-05,0.00453169312925124,0,0,0,0,0,0,package://lm/meshes/L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://lm/meshes/L1.STL,,3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-3/RDM2-POWER HW_V1.1-简化-1/RDM2-DRIVE HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-3/3212501-000000-103 RJS25-II关节L型刹车防尘罩-RevA4-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-3/RDM2-MAIN HW_V1.0-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-3/3213201-000000-108 RJS32-II编码器支架-RevA3-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-3/RDM2-POWER HW_V1.1-简化-1/RDM2-MOSET HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-3/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-3/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-3/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;端盖输出杆5-1;支撑套-3;圆形支柱内外螺纹-7;圆形支柱内外螺纹-6;支撑套-2;110驱动辅助髋支架-1;90驱动髋支座-2;20系列罩壳3-1;90驱动辅助髋支座-3;圆形支柱内外螺纹-8;圆柱连接杆-3;deep groove ball bearings gb-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-3/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;20关节组件型(SIAT)-8/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-8/3212001-000000-103 RJSII-20L防尘罩-RevA1-1;20关节组件型(SIAT)-8/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P06-CL-III-B1-1;20关节组件型(SIAT)-8/芯轴3242001-000000-102 RJSII-20关节组件型前端盖-RevB1（SIAT）-1;20关节组件型(SIAT)-8/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;20关节组件型(SIAT)-12/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-12/3212001-000000-103 RJSII-20L防尘罩-RevA1-1;20关节组件型(SIAT)-12/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P06-CL-III-B1-1;20关节组件型(SIAT)-12/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P01-CL-III-1;20关节组件型(SIAT)-12/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3212501-000000-103 RJS25-II关节L型刹车防尘罩-RevA4-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/RDM2-POWER HW_V1.1-简化-1/RDM2-DRIVE HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/RDM2-POWER HW_V1.1-简化-1/RDM2-MOSET HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3212501-000000-108 六角钢柱 M3x14+6-RevA1-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3213201-000000-108 RJS32-II编码器支架-RevA3-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/RDM2-MAIN HW_V1.0-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3211701-000000-125 六角钢柱 M3x6+5-RevA1-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1,Origin_l1,基准轴7,l1,revolute,-0.22474,0.109,0.97992,1.5708,-0.0015844,1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
L2,0.259193507971265,0.133299943743941,-0.0669963392806916,0,0,0,3.78127467125214,0.00543046311466206,-0.000195237434217157,-1.35424363742605E-08,0.00846639037217728,7.2873819518859E-06,0.00816753271384224,0,0,0,0,0,0,package://lm/meshes/L2.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://lm/meshes/L2.STL,,端盖输出杆4-1;髋连杆1-1;_SCLBR12-10.0_D-2;_SCLBR12-10.0_D-1;angular contact ball bearings gb-22;angular contact ball bearings gb-21;髋连杆2-1;angular contact ball bearings gb-15;髋连杆3-1;髋连杆5-1;髋连杆4-2;圆柱支撑杆1-3;圆柱支撑杆1-1;圆柱支撑杆1-2;圆柱支撑杆2-2;圆柱支撑杆2-1;angular contact ball bearings gb-19;deep groove ball bearings gb-7;angular contact ball bearings gb-9;angular contact ball bearings gb-5;angular contact ball bearings gb-8;circlips for holes--type a gb-22;angular contact ball bearings gb-16;25系列罩壳2-1;110驱动辅助支座-1;deep groove ball bearings gb-4;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;110驱动支座-1;限位支撑套-1;hexagon socket head cap screws gb-36;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1,Origin_l2,基准轴08,l2,revolute,0.0021212,0.076497,-0.18726,1.5692,-1.5708,0,L1,0,0,-1,0,0,0,0,,,,,,,,
L3,-0.00867651662877713,-0.209234579610408,-0.0200315054459647,0,0,0,1.56561550782437,0.00471790185413728,-5.66930870132224E-06,-5.07696014416615E-05,0.00289352559826126,-1.44620309983072E-06,0.00531080605275201,0,0,0,0,0,0,package://lm/meshes/L3.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://lm/meshes/L3.STL,,大腿辅助连杆2-1;25系列罩壳1-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/15Z-84945-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;大腿U形支撑板-1;大腿绑缚支架-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/15Z-84945-1,Origin_l3,基准轴9,l3,revolute,0.358,0.104,-0.0765,1.5708,0,0,L2,0,0,-1,0,0,0,0,,,,,,,,
