Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.108508325586204,0.0146837974591004,-0.319193198969718,0,0,0,9.42178207273787,0.102465221562928,-0.00646016637771504,-0.000192985912922859,0.111182856145114,-7.17962851922865E-07,0.125080945514604,0,0,0,0,0,0,package://zongzhuangURDF/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://zongzhuangURDF/meshes/base_link.STL,,扶手-1;背包简化-1;背部支撑板2-1;扶手-3;母合页-1;子合页-1;扶手电池盒-1;电池盒侧盖-2;电池盒盖-1;电池盒侧盖-1;KCLSCLF5_50_0-1/KCLSCLF5_50_0_5-1;扶手端塞左-1;KCLSCLF5_50_0-1/KCLSCLF5_50_0_3-1;HGA91_40_3-1;HGA91_40-1/HGA91_40_7-1;HGA91_40-1/HGA91_40_5-1;扶手端塞右-1;XAF72_L160_D10-1;支撑支架-1;U型固定座-2;U型固定座-3;加强筋固定板-1;加强筋-8;背包固定板-2;加强筋-1;髋辅助固定座-1;XAF72_L160_D10-2;U型固定座-4;加强筋-9;加强筋-5;加强筋固定板-2;扶手支撑柱-1;扶手支撑柱-2;扶手支撑柱-3;髋固定座-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/RDM2-POWER HW_V1.1-简化-1/RDM2-DRIVE HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/RDM2-POWER HW_V1.1-简化-1/RDM2-MOSET HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/RDM2-MAIN HW_V1.0-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3213201-000000-108 RJS32-II编码器支架-RevA3-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3212501-000000-103 RJS25-II关节L型刹车防尘罩-RevA4-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3212501-000000-103 RJS25-II关节L型刹车防尘罩-RevA4-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/RDM2-POWER HW_V1.1-简化-1/RDM2-MOSET HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/RDM2-POWER HW_V1.1-简化-1/RDM2-DRIVE HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3213201-000000-108 RJS32-II编码器支架-RevA3-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/RDM2-MAIN HW_V1.0-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R1,-0.00554949522233184,0.000114401998525748,-0.0979074940082722,0,0,0,1.51779481990465,0.00245800943956294,-4.41521773761165E-07,-4.63899441448868E-05,0.00236263395755816,5.24184346522512E-07,0.00336403859220055,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R1.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R1.STL,,端盖输出杆5-2;支撑套-5;圆形支柱内外螺纹-9;110驱动辅助髋支架-2;deep groove ball bearings gb-10;圆形支柱内外螺纹-10;支撑套-6;90驱动辅助髋支座-4;20系列罩壳3-2;20关节组件型(SIAT)-13/3212001-000000-103 RJSII-20L防尘罩-RevA1-1;20关节组件型(SIAT)-13/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;圆柱连接杆-4;90驱动髋支座-3;20关节组件型(SIAT)-13/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P06-CL-III-B1-1;20关节组件型(SIAT)-13/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P01-CL-III-1;20关节组件型(SIAT)-13/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;20关节组件型(SIAT)-13/芯轴3242001-000000-102 RJSII-20关节组件型前端盖-RevB1（SIAT）-1;支撑套-7;支撑套-8;圆形支柱内外螺纹-12;圆形支柱内外螺纹-11;圆柱连接杆-5,Origin_r1,基准轴1,r1,revolute,-0.019297,-0.109,-0.50753,0,1.5708,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
R2,0.250026181846938,-0.136608711068529,-0.0645080764672321,0,0,0,3.38765409362828,0.00481452148453492,0.000202464946759136,-1.33630331746647E-06,0.00726017644456554,-1.03783472405917E-05,0.00756291577865967,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R2.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R2.STL,,端盖输出杆4-2;髋连杆1-2;_SCLBR12-10.0_D-3;髋连杆2-2;髋连杆5-2;髋连杆4-3;髋连杆3-2;圆柱支撑杆1-4;圆柱支撑杆1-5;圆柱支撑杆1-6;圆柱支撑杆2-3;圆柱支撑杆2-4;110驱动辅助支座-2;110驱动支座-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;25系列罩壳2-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;_SCLBR12-10.0_D-4;deep groove ball bearings gb-16;deep groove ball bearings gb-15;deep groove ball bearings gb-19;deep groove ball bearings gb-18;deep groove ball bearings gb-14;deep groove ball bearings gb-13;deep groove ball bearings gb-12,Origin_r2,基准轴02,r2,revolute,-0.074,0.004,-0.18726,3.1416,-1.5708,0,R1,0,0,-1,0,0,0,0,,,,,,,,
R3,0.00428821051037809,-0.210045840770061,-0.024337506823458,0,0,0,1.55569553643649,0.00470363819886716,-5.64656251093002E-05,4.81096129758025E-05,0.00288796096586703,-5.66863338663946E-06,0.00529102208273278,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R3.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R3.STL,,大腿辅助连杆2-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;25系列罩壳1-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;大腿U形支撑板-2;大腿绑缚支架-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1,Origin_r3,基准轴3,r3,revolute,0.35806,-0.1057,-0.073552,1.5708,0,3.1416,R2,0,0,-1,0,0,0,0,,,,,,,,
R4,0.00253089925915702,-0.327230469038829,-0.0436394431934457,0,0,0,2.71063429202876,0.0203006815060119,7.65976712943799E-05,3.65709504636148E-06,0.003277615843604,-0.000858028173816362,0.0208829866242641,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R4.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R4.STL,,大腿辅助连杆1-2;20系列罩壳2-2;90驱动支座-2;90轴承垫圈-2;20关节组件型(SIAT)-9/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-9/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;90轴承端盖-2;20系列罩壳M1-M12-1;小腿连杆-2;小腿支撑板-2;小腿挡板支架-3;小腿挡板连接块-2;小腿挡板支座-2;_IPCX6ergf-2;20关节组件型(SIAT)-15/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-10/芯轴3242001-000000-102 RJSII-20关节组件型前端盖-RevB1（SIAT）-1;circlips for shaft--type b gb-2;deep groove ball bearings gb-8;20关节组件型(SIAT)-10/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1,Origin_r4,基准轴4,r4,revolute,5.9136E-05,-0.18045,0.0007,0,0,0,R3,0,0,-1,0,0,0,0,,,,,,,,
R5,-0.0404638812825985,-0.474230643441424,0.064948016318006,0,0,0,2.75166048062153,0.00822262902967522,-5.18405343958851E-05,0.000564288004150448,0.0184077002179176,0.000106838646470046,0.0129901003888962,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R5.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R5.STL,,圆柱连杆1-2;一字轴8mm支座2-6;端盖输出杆2-2;十字轴8mm支座1-4;十字轴12mm支座-3;十字轴8mm支座2-4;踝关节固定座-2;六维力脚底板上-2;37153-00-2/37151-00_ASM_144_ASM_1_ASM-1/37151-10_ASM_138_ASM_1_ASM-1/37151-15_193_1-1;六维力脚底板下-2;std_支具环扣VT3-11;std_支具环扣VT3-10;弧形绑缚件-2;std_支具环扣VT3-8;std_支具环扣VT3-9;L形绑缚件-8;十字轴12mm支座-4;十字轴12mm-2;十字轴8mm-4;L形绑缚件-11;L形绑缚件-10,Origin_r5,基准轴5,r5,revolute,0,-0.259,-0.0305,0,0,0,R4,0,0,-1,0,0,0,0,,,,,,,,
R6,0.375757483545611,0.0588554601692003,0.0438139202102486,0,0,0,2.58090518563935,0.0183265248471455,-0.000110484792794042,-5.18717858420123E-05,0.0121030695008154,-0.000563756384745253,0.00747330630025743,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R6.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF/meshes/R6.STL,,圆柱连杆2-3;端盖输出杆1-2;一字轴8mm支座1-2;一字轴8mm支座3-2;十字轴8mm支座1-5;十字轴8mm支座2-5;十字轴8mm-5;踝关节固定座-2;六维力脚底板上-2;弧形绑缚件-2;std_支具环扣VT3-10;六维力脚底板下-2;37153-00-2/37151-00_ASM_144_ASM_1_ASM-1/37151-10_ASM_138_ASM_1_ASM-1/37151-15_193_1-1;std_支具环扣VT3-11;L形绑缚件-10;std_支具环扣VT3-8;std_支具环扣VT3-9;L形绑缚件-11,Origin_r6,基准轴6,r6,revolute,0.0065,-0.37,-0.0265,1.5708,0,-1.5708,R4,0,0,-1,0,0,0,0,,,,,,,,
L1,0.000120977453167082,0.00623284848702421,-0.09845242410647,0,0,0,1.53313730127232,0.00236330403950826,5.59909379398475E-07,-2.53332631477571E-07,0.00245816304605807,4.63507523677144E-05,0.00336463859498981,0,0,0,0,0,0,package://zongzhuangURDF/meshes/L1.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF/meshes/L1.STL,,端盖输出杆5-1;支撑套-1;圆形支柱内外螺纹-5;110驱动辅助髋支架-1;deep groove ball bearings gb-3;90驱动髋支座-2;圆柱连接杆-1;20关节组件型(SIAT)-12/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-12/芯轴3242001-000000-102 RJSII-20关节组件型前端盖-RevB1（SIAT）-1;20关节组件型(SIAT)-12/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;20关节组件型(SIAT)-12/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P06-CL-III-B1-1;20关节组件型(SIAT)-12/3212001-000000-103 RJSII-20L防尘罩-RevA1-1;90驱动辅助髋支座-3;20系列罩壳3-1;圆形支柱内外螺纹-8;支撑套-4;20关节组件型(SIAT)-12/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P01-CL-III-1;圆柱连接杆-3;圆形支柱内外螺纹-6;圆形支柱内外螺纹-7;支撑套-3;限位支撑套-3;hexagon socket head cap screws gb-38;hexagon socket head cap screws gb-37;限位支撑套-2;支撑套-2,Origin_l1,基准轴7,l1,revolute,-0.019297,0.109,-0.50753,1.5708,-0.0015844,1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
L2,0.260220119735123,0.133425223537314,-0.0678508609941246,0,0,0,3.84440599266414,0.00543440493172141,-0.000195237434216319,-1.35424363791128E-08,0.00846961411894216,7.28738195188599E-06,0.00817415948554993,0,0,0,0,0,0,package://zongzhuangURDF/meshes/L2.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF/meshes/L2.STL,,端盖输出杆4-1;髋连杆1-1;_SCLBR12-10.0_D-2;_SCLBR12-10.0_D-1;angular contact ball bearings gb-22;angular contact ball bearings gb-21;angular contact ball bearings gb-15;髋连杆3-1;髋连杆5-1;髋连杆4-2;圆柱支撑杆1-3;圆柱支撑杆1-1;圆柱支撑杆1-2;圆柱支撑杆2-2;圆柱支撑杆2-1;angular contact ball bearings gb-19;deep groove ball bearings gb-7;angular contact ball bearings gb-9;angular contact ball bearings gb-5;angular contact ball bearings gb-8;circlips for holes--type a gb-22;angular contact ball bearings gb-16;25系列罩壳2-1;110驱动辅助支座-1;deep groove ball bearings gb-4;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;110驱动支座-1;限位支撑套-1;hexagon socket head cap screws gb-36;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;垫圈3-2;垫圈3-1;垫圈3-7;垫圈3-4;垫圈3-3;hexagon socket head cap screws gb-34;angular contact ball bearings gb-14;angular contact ball bearings gb-1;垫圈3-5;髋连杆2-1;垫圈3-8;垫圈3-6,Origin_l2,基准轴08,l2,revolute,0.0021212,0.076497,-0.18726,1.5692,-1.5708,0,L1,0,0,-1,0,0,0,0,,,,,,,,
L3,-0.0086765166292917,-0.209234579610393,-0.020031505445948,0,0,0,1.56561550782437,0.00471790185337092,-5.66930870728927E-06,-5.07696014416872E-05,0.00289352559749829,-1.44620312820952E-06,0.00531080605274946,0,0,0,0,0,0,package://zongzhuangURDF/meshes/L3.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF/meshes/L3.STL,,大腿辅助连杆2-1;25系列罩壳1-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/15Z-84945-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;大腿U形支撑板-1;大腿绑缚支架-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/15Z-84945-1,Origin_l3,基准轴9,l3,revolute,0.358,0.104,-0.0765,1.5708,0,0,L2,0,0,-1,0,0,0,0,,,,,,,,
