Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0937712300201199,0.0243464310954927,1.16925300338435,0,0,0,9.51755992218182,0.102592409304646,-0.00646016637755332,-0.000192985912971675,0.111250574543015,-7.17949257416462E-07,0.125150126837623,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/base_link.STL,,扶手-1;背包简化-1;背部支撑板2-1;扶手-3;母合页-1;子合页-1;扶手电池盒-1;电池盒侧盖-2;电池盒盖-1;电池盒侧盖-1;KCLSCLF5_50_0-1/KCLSCLF5_50_0_5-1;扶手端塞左-1;KCLSCLF5_50_0-1/KCLSCLF5_50_0_3-1;HGA91_40_3-1;HGA91_40-1/HGA91_40_7-1;HGA91_40-1/HGA91_40_5-1;扶手端塞右-1;XAF72_L160_D10-1;支撑支架-1;U型固定座-2;U型固定座-3;加强筋固定板-1;加强筋-8;背包固定板-2;加强筋-1;髋辅助固定座-1;XAF72_L160_D10-2;U型固定座-4;加强筋-9;加强筋-5;加强筋固定板-2;扶手支撑柱-1;扶手支撑柱-2;扶手支撑柱-3;髋固定座-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/RDM2-POWER HW_V1.1-简化-1/RDM2-DRIVE HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/RDM2-POWER HW_V1.1-简化-1/RDM2-MOSET HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/RDM2-MAIN HW_V1.0-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3213201-000000-108 RJS32-II编码器支架-RevA3-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3212501-000000-103 RJS25-II关节L型刹车防尘罩-RevA4-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3212501-000000-103 RJS25-II关节L型刹车防尘罩-RevA4-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/RDM2-POWER HW_V1.1-简化-1/RDM2-MOSET HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/RDM2-POWER HW_V1.1-简化-1/RDM2-DRIVE HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3213201-000000-108 RJS32-II编码器支架-RevA3-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/RDM2-MAIN HW_V1.0-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-7/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-12/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;腰部转接板-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R1,-0.00554949492893098,0.000114406348919571,-0.0906489716882113,0,0,0,1.51779481990377,0.00245800943956226,-4.41521694222383E-07,-4.63899441452346E-05,0.00236263395755868,5.2418426256201E-07,0.0033640385921997,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R1.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R1.STL,,端盖输出杆5-2;支撑套-5;圆形支柱内外螺纹-9;110驱动辅助髋支架-2;deep groove ball bearings gb-10;圆形支柱内外螺纹-10;支撑套-6;90驱动辅助髋支座-4;20系列罩壳3-2;20关节组件型(SIAT)-13/3212001-000000-103 RJSII-20L防尘罩-RevA1-1;20关节组件型(SIAT)-13/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;圆柱连接杆-4;90驱动髋支座-3;20关节组件型(SIAT)-13/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P06-CL-III-B1-1;20关节组件型(SIAT)-13/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P01-CL-III-1;20关节组件型(SIAT)-13/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;20关节组件型(SIAT)-13/芯轴3242001-000000-102 RJSII-20关节组件型前端盖-RevB1（SIAT）-1;支撑套-7;支撑套-8;圆形支柱内外螺纹-12;圆形支柱内外螺纹-11;圆柱连接杆-5,Origin_r1,基准轴1,r1,revolute,-0.22726,-0.099665,0.98283,0,1.5708,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
R2,0.246831136781425,-0.130193986833516,-0.0663366354617665,0,0,0,3.50223307731088,0.00482198698351304,0.000202464946724323,-1.33630331747656E-06,0.00726764194355335,-1.0378347240578E-05,0.00757672868495718,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R2.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R2.STL,,端盖输出杆4-2;髋连杆1-2;_SCLBR12-10.0_D-3;髋连杆2-2;髋连杆5-2;髋连杆4-3;髋连杆3-2;圆柱支撑杆1-4;圆柱支撑杆1-5;圆柱支撑杆1-6;圆柱支撑杆2-3;圆柱支撑杆2-4;110驱动辅助支座-2;110驱动支座-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-5/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;25系列罩壳2-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-11/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;_SCLBR12-10.0_D-4;deep groove ball bearings gb-16;deep groove ball bearings gb-19;deep groove ball bearings gb-18;deep groove ball bearings gb-14;deep groove ball bearings gb-13;deep groove ball bearings gb-12;deep groove ball bearings gb-17;deep groove ball bearings gb-15;deep groove ball bearings gb-11;deep groove ball bearings gb-21;deep groove ball bearings gb-22;deep groove ball bearings gb-23,Origin_r2,基准轴2,r2,revolute,-0.074,0,-0.181,3.1416,-1.5708,0,R1,0,0,-1,0,0,0,0,,,,,,,,
R3,0.00677817526149599,-0.293465843454171,0.0389149530147373,0,0,0,3.65910111444718,0.0235487358926823,0.00121428027627189,2.94722922390128E-05,0.00901846357804788,0.000824816949327759,0.0267928366291166,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R3.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R3.STL,,大腿辅助连杆2-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;25系列罩壳1-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-6/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;大腿U形支撑板-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-8/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;大腿支撑板-2;滑块1-2;大腿绑缚支架-2;_Ring-E5ringe-6;L支座1-2;滑块固定端-2;滑块2-2;垫块-2;L支座2-2;std_支具环扣VT3-19;std_支具环扣VT3-15;std_支具环扣VT3-14;std_支具环扣VT3-18;大腿挡板连接块-2;大腿辅助连杆1-2;20系列罩壳2-2;20关节组件型(SIAT)-15/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;90轴承端盖-2;90轴承垫圈-2;90驱动支座-2;20关节组件型(SIAT)-15/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;压盖-2;导向轴-4;deep groove ball bearings gb-8;20关节组件型(SIAT)-15/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P04-CL-III-1;circlips for shaft--type b gb-2;KCLSHCH20-40.0-2/_KCLSHCH20-40.0_p-1;大腿内包围-3,Origin_r3,基准轴3,r3,revolute,0.35906,-0.1017,-0.073552,1.5708,0,0,R2,0,0,1,0,0,0,0,,,,,,,,
R4,0.00582871400869369,-0.1554593146151,0.0469624360720068,0,0,0,2.85321169527241,0.0250320338124531,-0.000932042674428083,0.000135265412711868,0.00565878670607886,0.00159898080025965,0.0241130930142992,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R4.STL,,20关节组件型(SIAT)-9/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-9/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;20系列罩壳M1-M12-1;小腿连杆-2;小腿支撑板-2;小腿挡板支架-3;小腿挡板连接块-2;小腿挡板支座-2;_IPCX6ergf-2;20关节组件型(SIAT)-10/芯轴3242001-000000-102 RJSII-20关节组件型前端盖-RevB1（SIAT）-1;20关节组件型(SIAT)-10/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;端盖输出杆2-2;一字轴8mm支座2-6;SCLBM8-25.0-MC3-NC3-3;圆柱连杆1-2;端盖输出杆1-2;一字轴8mm支座1-2;一字轴8mm支座3-2;圆柱连杆2-3;十字轴8mm支座1-5;十字轴8mm支座1-4;十字轴12mm支座-3;B688ZZ-33;SCLBM8-25.0-MC3-NC3-4;B688ZZ-34;_SCLBK8-20_b-4;KCLSCH5_27_0-2/KCLSCH5_27_0_5-1;KCLSCH5_27_0-2/KCLSCH5_27_0_3-1;circlips for holes--type a gb-23;deep groove ball bearings gb-20;KCLSHCH20-40.0-2/_Ring-C20ringc-1;小腿内包围-2;B688ZZ-27;B688ZZ-30;B688ZZ-26;B688ZZ-25;B6901ZZ-7;B6901ZZ-6,Origin_r4,基准轴4,r4,revolute,-0.00096953,-0.44045,-0.024637,0,0,0,R3,0,0,1,0,0,0,0,,,,,,,,
R5,0.0383908029476736,-0.10212634301878,-0.0726801869417258,0,0,0,2.57016303729165,0.00718440022583499,5.19865091364633E-05,0.000563786926503535,0.0182986194005356,-0.000107058732386298,0.011891442448763,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R5.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R5.STL,,踝关节固定座-2;六维力脚底板上-2;37153-00-2/37151-00_ASM_144_ASM_1_ASM-1/37151-10_ASM_138_ASM_1_ASM-1/37151-15_193_1-1;六维力脚底板下-2;std_支具环扣VT3-11;std_支具环扣VT3-10;弧形绑缚件-2;std_支具环扣VT3-8;std_支具环扣VT3-9;L形绑缚件-8;十字轴12mm支座-4;十字轴12mm-2;L形绑缚件-11;L形绑缚件-10;L形绑缚件-9;十字轴8mm支座2-5;十字轴8mm支座2-4;十字轴8mm-5;十字轴8mm-4;B688ZZ-28;B688ZZ-32;B6901ZZ-8;B6901ZZ-9;B688ZZ-29;B688ZZ-31,Origin_r5,基准轴5,r5,revolute,0.00066892,-0.4,0.050437,0,0,0,R4,0,0,1,0,0,0,0,,,,,,,,
R6,0.102126343021598,0.0726801869370307,0.0383908029459849,0,0,0,2.57016303707471,0.0182986193977334,-0.000107058732399847,-5.1986509089791E-05,0.011891442446419,-0.000563786927383208,0.0071844002253756,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R6.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/R6.STL,,踝关节固定座-2;六维力脚底板上-2;弧形绑缚件-2;std_支具环扣VT3-10;六维力脚底板下-2;37153-00-2/37151-00_ASM_144_ASM_1_ASM-1/37151-10_ASM_138_ASM_1_ASM-1/37151-15_193_1-1;std_支具环扣VT3-11;L形绑缚件-10;std_支具环扣VT3-8;std_支具环扣VT3-9;L形绑缚件-11;十字轴12mm支座-4;十字轴12mm-2;L形绑缚件-9;L形绑缚件-8;十字轴8mm支座2-5;十字轴8mm-5;十字轴8mm支座2-4;十字轴8mm-4;B6901ZZ-8;B688ZZ-28;B6901ZZ-9;B688ZZ-29;B688ZZ-32;B688ZZ-31,Origin_r6,基准轴6,r6,revolute,0.00066892,-0.4,0.050437,-1.5708,0,-1.5708,R4,0,0,-1,0,0,0,0,,,,,,,,
L1,-0.00605249018573017,0.000131916827119841,-0.0916307065039449,0,0,0,1.54071073617693,0.00246397436825558,-4.10339814203433E-07,-4.63499599676028E-05,0.00236656175696068,-2.71812868549118E-07,0.00336721351518904,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/L1.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/L1.STL,,端盖输出杆5-1;支撑套-1;圆形支柱内外螺纹-5;110驱动辅助髋支架-1;deep groove ball bearings gb-3;90驱动髋支座-2;圆柱连接杆-1;20关节组件型(SIAT)-12/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;20关节组件型(SIAT)-12/芯轴3242001-000000-102 RJSII-20关节组件型前端盖-RevB1（SIAT）-1;20关节组件型(SIAT)-12/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;20关节组件型(SIAT)-12/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P06-CL-III-B1-1;20关节组件型(SIAT)-12/3212001-000000-103 RJSII-20L防尘罩-RevA1-1;90驱动辅助髋支座-3;20系列罩壳3-1;圆形支柱内外螺纹-8;支撑套-4;20关节组件型(SIAT)-12/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P01-CL-III-1;圆柱连接杆-3;圆形支柱内外螺纹-6;圆形支柱内外螺纹-7;支撑套-3;限位支撑套-3;hexagon socket head cap screws gb-38;hexagon socket head cap screws gb-37;限位支撑套-2;支撑套-2;20关节组件型(SIAT)-12/3211701-000000-108 RJS17-II编码器支架-RevA4-1;20关节组件型(SIAT)-12/电源线3_霍尔传感器线5_抱闸线2^3242001-000000-002 RJSIIZ-20关节组件型-RevB1-简化-1;20关节组件型(SIAT)-12/六角钢柱-M3x12+3.5-2;20关节组件型(SIAT)-12/CAPRO-S060020编码器-RevB1-简化-1/CAPRO-S060020编码器-简化-1,Origin_l1,基准轴7,l1,revolute,-0.22726,0.11834,0.98283,0,1.5708,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
L2,0.25877923515273,0.134266412240824,-0.0677874945468322,0,0,0,3.97430335027074,0.00545206206861037,-0.000195237332992222,1.1992117513944E-07,0.00849736760728606,7.28739098963642E-06,0.00819800561640704,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/L2.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/L2.STL,,端盖输出杆4-1;髋连杆1-1;_SCLBR12-10.0_D-2;_SCLBR12-10.0_D-1;angular contact ball bearings gb-22;angular contact ball bearings gb-21;angular contact ball bearings gb-15;髋连杆3-1;髋连杆5-1;髋连杆4-2;圆柱支撑杆1-3;圆柱支撑杆1-1;圆柱支撑杆1-2;圆柱支撑杆2-2;圆柱支撑杆2-1;angular contact ball bearings gb-19;deep groove ball bearings gb-7;angular contact ball bearings gb-9;angular contact ball bearings gb-5;angular contact ball bearings gb-8;circlips for holes--type a gb-22;angular contact ball bearings gb-16;25系列罩壳2-1;110驱动辅助支座-1;deep groove ball bearings gb-4;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-2/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;110驱动支座-1;限位支撑套-1;hexagon socket head cap screws gb-36;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;垫圈3-2;垫圈3-1;垫圈3-7;垫圈3-4;垫圈3-3;hexagon socket head cap screws gb-34;angular contact ball bearings gb-14;angular contact ball bearings gb-1;垫圈3-5;髋连杆2-1;垫圈3-8;垫圈3-6;circlips for hole--type b gb-1;angular contact ball bearings gb-17;angular contact ball bearings gb-18;angular contact ball bearings gb-13;angular contact ball bearings gb-11;angular contact ball bearings gb-10;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/RDM2-MAIN HW_V1.0-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/3213201-000000-108 RJS32-II编码器支架-RevA3-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-10/LHSG-25-CL-III 谐波减速器-RevB3-1/15Z-84945-1,Origin_l2,基准轴8,l2,revolute,-0.074,0,-0.181,3.1416,-1.5708,0,L1,0,0,-1,0,0,0,0,,,,,,,,
L3,0.00496922164940363,-0.288185615131116,-0.0359439080619921,0,0,0,3.6518910655822,0.0235636285561541,0.00124777417706395,-3.15522570415732E-05,0.00903031498787523,-0.000820268344584814,0.0268205546147523,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/L3.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://zongzhuangURDF3/meshes/L3.STL,,大腿辅助连杆2-1;25系列罩壳1-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/15Z-84945-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-1/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;大腿U形支撑板-1;大腿绑缚支架-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P04-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/3242501-000000-102 RJSII-25关节组件型外壳-RevB1（SIAT）-3;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P06-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P01-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/LHSG-25-XXX-P02-CL-III-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/3242501-000000-101 RJSII-25关节组件型前端盖-RevB1（SIAT）-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/LHSG-25-CL-III 谐波减速器-RevB3-1/15Z-84945-1;大腿辅助连杆1-1;20系列罩壳2-1;20关节组件型(SIAT)-16/3242001-000000-101 RJSII-20关节组件型外壳-RevB1-1;90驱动支座-1;90轴承垫圈-1;90轴承端盖-1;20关节组件型(SIAT)-16/LHSG-20-CL-III 谐波减速器-RevB2-1/LHSG-20-XXX-P02-CL-III-1;大腿支撑板-1;大腿挡板连接块-1;滑块固定端-1;L支座2-1;滑块1-1;L支座1-1;滑块2-1;std_支具环扣VT3-16;std_支具环扣VT3-12;std_支具环扣VT3-13;std_支具环扣VT3-17;deep groove ball bearings gb-6;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/RDM2-POWER HW_V1.1-简化-1/RDM2-DRIVE HW_V1.1-简化-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/3213201-000000-108 RJS32-II编码器支架-RevA3-1;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/3212501-000000-108 六角钢柱 M3x14+6-RevA1-2;3242501-000000-002 RJSIIZ-25关节组件型-RevB4（SIAT）-9/3212501-000000-103 RJS25-II关节L型刹车防尘罩-RevA4-1;FSSFJFF-D6-L84-H2-U2-1;FSSFJFF-D6-L84-H2-U2-2;circlips for shaft--type b gb-1;20关节组件型(SIAT)-16/3211701-000000-108 RJS17-II编码器支架-RevA4-1;KCLSHCH20-40.0-1/_KCLSHCH20-40.0_p-1;大腿内包围-1,Origin_l3,基准轴9,l3,revolute,0.359,0.106,-0.074,1.5708,0,0,L2,0,0,-1,0,0,0,0,,,,,,,,
